Date,Rating,Reviews,Name,Price,Overall_Rating,sentiment_score,sentiment,sentiment_score_label,Review_Date,Review_Age
08 November 2023,4.0,If you need a good phone with good battery life and bloat free software at this price. Then get this blindly.Phone is built rock solid.Having finger print reader on the side is actually a gift then having on screen painful finger print reader.Side finger print unlocks faster than on screen onesBuy a spigen case worth rs 500. It is making the phone look like premium ones.Increase virtual ram to 16gb on about settingsGet 256 gb internal storage for future good.Whats poorVery average cameraScreen feels laggy at timesIt's 70hz display in reality not 120hz,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.91,Positive,Positive (0.91),2023-11-08,118
17 August 2023,4.0,I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime and I've been thoroughly impressed with its performance and features. Here's what I love about itPros1. Affordable 5G The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast and I'm future-proofed for upcoming advancements in connectivity.2. Sleek Design The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. Smooth Performance With 8GB of RAM multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. Ample Storage The 128GB storage provides enough room for all my apps photos and videos. Plus the option to expand storage via microSD card is a thoughtful addition.5. Impressive Display The AMOLED display offers vibrant colors and deep blacks enhancing my media consumption experience. The Full HD resolution ensures crisp visuals whether I'm watching videos or browsing the web.Cons1. Average Camera Performance While the camera setup is decent it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great but low-light performance could be improved.2. Plastic Back While the plastic back keeps the device lightweight it may not feel as premium as glass-backed phones. A good quality case helps mitigate this though.3. Battery Life The battery life is good but not exceptional. It easily lasts me through a day of moderate use but I'd appreciate a bit more juice for heavy usage days.In conclusion the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design performance and display quality are its standout features making it an excellent value for money. While there are a few areas for improvement the overall experience this phone provides is truly remarkable.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.9958,Positive,Positive (0.9958),2023-08-17,201
29 October 2023,4.0,The OnePlus Nord CE 3 5G is a device that doesnt disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance 55 The appearance of the Nord CE 3 is sleek and elegant. The slim design the choice of materials and the placement of the camera module all scream premium. Its a phone that youll be proud to show off.Ease of Use 4.55 OnePlus continues its tradition of providing a clean user-friendly interface. OxygenOS is intuitive responsive and customizable. Navigating through apps and settings is a breeze making it ideal for both tech-savvy users and those new to smartphones.Battery Life 45 The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category its reliable and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor 4.55 The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensors placement on the front is convenient and intuitive.In summary the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance is exceptionally easy to use offers reliable battery life and features a responsive fingerprint sensor. If youre looking for a 5G phone that delivers on both looks and performance the Nord CE 3 is an excellent choice.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.9841,Positive,Positive (0.9841),2023-10-29,128
30 January 2024,4.0,Slightly disappointed with battery backup and Hybrid slot for micro SD,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,-0.4228,Negative,Negative (-0.4228),2024-01-30,35
08 February 2024,4.0,Friends i would have definitely given five star however haven't checked other competitors. One thing is for sure this Android phone is magic. Speed Camera display battery back up and performance is simply unmatched for this device. People who have second choice after I phone. I strongly recommend this device. At this range and budget. One plus Nord strives to give the best to consumers. Blindly go for it.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.9393,Positive,Positive (0.9393),2024-02-08,26
19 February 2024,4.0,Genuinely this is a good phone in this price range. I have got this phone at 17999-. Except it's camera quality I am very satisfied with this phone.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.7178,Positive,Positive (0.7178),2024-02-19,15
31 January 2024,4.0,The phone is really good works well.Just one issue is while clicking the images the images look bad but after processing the images look quite good.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.6293,Positive,Positive (0.6293),2024-01-31,34
10 February 2024,4.0,I have bought this my brother... He was very happy and loved itd. It's function is simple and easy to use. Overally all good like camera battery processor . I got this at 17k after discount.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.9473,Positive,Positive (0.9473),2024-02-10,24
09 November 2023,5.0,As an avid runner who values both style and functionality in athletic footwear the ASIAN Men's Wonder-13 Sports Running Shoes have truly exceeded my expectations.Comfort and Fit The first thing that struck me about these shoes was their exceptional comfort. The cushioning provided excellent support for my feet reducing fatigue during long runs. The snug yet breathable fit hugged my feet perfectly allowing ample room for movement without compromising stability.Design and Durability The sleek design of these shoes instantly caught my eye. The combination of vibrant colors and a modern streamlined look makes them stand out. Moreover the build quality and materials used indicate durability holding up well even after rigorous use on various terrains.Performance and Traction The performance of these shoes is where they truly shine. The soles provide remarkable traction offering a secure grip on both pavement and trails. Whether sprinting or jogging I felt confident in my footing thanks to the excellent traction and stability these shoes provide.Versatility Beyond just running these shoes are versatile enough for other activities. I've used them for workouts at the gym casual walks and they've proven to be reliable and adaptable to different environments.Value for Money Considering their quality performance and comfort these shoes offer incredible value for money. They compete admirably with much higher-priced brands without compromising on quality or style.Final ThoughtsIn summary the ASIAN Men's Wonder-13 Sports Running Shoes are a fantastic choice for runners seeking comfort performance and style. From their comfortable fit to their durability and excellent traction these shoes have become my go-to option for all my athletic activities. I highly recommend them to anyone in search of high-quality sports shoes that deliver on every front.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.997,Positive,Positive (0.997),2023-11-09,117
01 June 2023,4.0,Comfortable and great looking.Wonderful go for it.,OnePlus Nord CE 3 Lite 5G Chromatic Gray 8GB RAM 128GB Storage,17999.0,4.2,0.8126,Positive,Positive (0.8126),2023-06-01,278
